Make,Type,Horsepower,MPG_City,MPG_Highway,MSRP
Nissan,Truck,242.5,15.5,19,"$23,065"
Nissan,Wagon,245,20,25,"$28,739"
Oldsmobile,Sedan,165,21,29,"$23,763"
Pontiac,SUV,185,19,26,"$21,595"
Pontiac,Sedan,187.5,20.25,28.125,"$24,198"
Pontiac,Sports,340,16,20,"$33,500"
Pontiac,Wagon,130,29,36,"$17,045"
Porsche,SUV,340,14,18,"$56,665"
Porsche,Sports,318,18,25.833333333,"$88,048"
Saab,Sedan,218.33333333,20.666666667,28.833333333,"$37,106"
Saab,Wagon,250,19,29,"$40,845"
Saturn,SUV,143,21,26,"$20,585"
Saturn,Sedan,147,25,33.833333333,"$15,622"
Saturn,Wagon,140,24,34,"$23,560"
Scion,Sedan,108,32,38,"$12,965"
Scion,Wagon,108,31,35,"$14,165"
Subaru,Sedan,180.66666667,20.333333333,27.166666667,"$25,678"
Subaru,Sports,263.5,19,25.5,"$28,295"
Subaru,Truck,165,21,28,"$24,520"
Subaru,Wagon,165,21,28,"$22,670"
Suzuki,SUV,175,18.5,22,"$20,431"
Suzuki,Sedan,140.6,23.2,30,"$14,497"
Suzuki,Wagon,155,24,29,"$16,497"
Toyota,Hybrid,110,59,51,"$20,510"
Toyota,SUV,240.2,17,21.2,"$33,278"
Toyota,Sedan,173.625,25.5625,33.6875,"$20,260"
Toyota,Sports,159,25,32.5,"$23,850"
Toyota,Truck,174,17.333333333,20.666666667,"$18,410"
Toyota,Wagon,130,29,36,"$16,695"
Volkswagen,SUV,220,15,20,"$35,515"
Volkswagen,Sedan,204.09090909,22,29.272727273,"$33,093"
Volkswagen,Wagon,185,21.333333333,28.666666667,"$28,065"
Volvo,SUV,268,15,20,"$41,250"
Volvo,Sedan,226,20,27.111111111,"$37,027"
Volvo,Wagon,189,21,28,"$30,640"
